title,color,type,avg_rating,num_of_ratings,selling_price,MRP
DEFY CrestX with 16 Hours Playtime and Low Latency Blue...,Active Black, In the Ear,4.4,528,699,999
iBAss 3.5MM Deep Bass For O_PPO Reno Series Wired Gamin...,White, In the Ear,4.1,375,259,1499
Ubon Passion Series CL-75 Bluetooth Headset,Black, In the Ear,3.7,31,589,899
VlVO High Bass Earphones Wired Headset,White, In the Ear,3.4,327,179,1995
Grostar TWS-Mini True Wireless Ear-Buds with Noise Canc...,Black, True Wireless,3.8,449,649,1299
Hypex Stylish Wired Headphone With High Bass Sound & Mi...,Multicolor, On the Ear,3.3,69,199,2499
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,4,2834,533,599
realme Buds 2 Neo With HD Mic Wired Headset,Black, In the Ear,4.2,19975,499,2499
Mivi Collar Classic Neckband with Fast Charging Bluetoo...,Red, In the Ear,3.9,99486,699,2665
Boult Audio AirBass Monopod Bluetooth Headset,Black, True Wireless,3.8,75014,580,4999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.9,35280,1299,2490
boAt BassHeads 900 Super Extra Bass Wired Headset,Pearl White, On the Ear,4.4,238169,699,2499
RoyalRich LED Display TWS Earbuds Bluetooth Headset,Black, True Wireless,4,306,999,2999
JBL Tune 125BT Bluetooth Headset,Black, In the Ear,3.8,13159,1614,1999
U&I Fighter Series Deep Bass Neckband with 12 Hours Mus...,Black, In the Ear,3.9,13327,399,1200
YODNSO 42472 Wired Headset,Black, In the Ear,3.8,107,148,2499
Noise Nerve Neckband Bluetooth Headset,Stone Blue, In the Ear,4,4902,999,4999
Truke Fit 1 Bluetooth Headset,Blue, True Wireless,3.9,14974,799,799
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone Bluetooth He...",Black, White,3.7,6288,217,1149
Cosmic Byte Stardust Wired Gaming Headset,Red, On the Ear,4.2,10071,799,1299
WeCool IN-EAR WIRED EARPHONES WITH MIC Wired Headset,Red, In the Ear,3.9,13339,279,2499
Boult Audio Bass Bud Q2 Wired Headset,Black, On the Ear,4.1,18050,590,1999
WeCool Moonwalk Mini in ear bluetooth Earbuds with 16 h...,Black, Yellow,3.9,18893,849,0
TECHFIRE Tf M-31 Neckband hi-bass headphone Wireless Bl...,Green, In the Ear,3.7,1507,499,1950
Ambrane NeoBuds-33 Bluetooth Headset,Black, True Wireless,3.9,4849,987,1799
SAMSUNG Original EHS64 Black Wired Headset,Black, In the Ear,4.2,6452,499,1999
DEFY CrestX with 16 Hours Playtime and Low Latency Blue...,Lively Green, In the Ear,4.4,528,699,999
BRD BLUETOOTHHEADSET-A26 Bluetooth Headset,White, True Wireless,3.7,185,260,899
touch care High Bass Earphones Wired Headset,White, In the Ear,3.7,170,177,899
CatBull Truewireless Headphone Bluetooth Headset Blueto...,Black, In the Ear,3.8,247,135,449
U&I Pasta Series Extra Bass Wired Earphone with Mic Wir...,Brown, In the Ear,4.3,44831,170,2499
DIZO by realme TechLife Wireless Bluetooth Headset,Green, In the Ear,4.6,14,999,1999
CADNUT OP-3 Bluetooth Headset,Green, Black,3.2,9,369,1899
DettoZap i12s Bluetooth Wireless Headphone with Mic and...,White, True Wireless,3.8,801,449,1499
Ambrane BassBand Beat Bluetooth Headset,Grey, In the Ear,4.2,120,759,2999
HRX X-Drops 440G Bluetooth Headset,Black, In the Ear,3.9,669,1499,2699
U&i Prime Shuffle 2 Wireless Neckband with Sports and M...,Black, In the Ear,3.5,17,499,1025
icall BBD-S650 One side Earbuds (With Charging Cable) B...,Black, True Wireless,4.2,74477,208,599
Redmi by Mi Hi-Resolution Audio Wired Headset,Black, In the Ear,4.2,25388,399,999
boAt Bassheads 104 Wired Headset,White, In the Ear,4.3,291076,399,3990
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,Aqua Blue, On the Ear,3,6,1499,4999
DigiClues Smart TWS with Charging Case & Power Bank HD ...,Black, True Wireless,3.8,14,1299,899
FUTURESTARRKK REALMEN BLUETOOTH NECKBAND IN THE EAR Blu...,Black, Yellow,4.1,88,219,1099
SYARA WNF_696L_Level Neck Band Bluetooth Headset Blueto...,Black, In the Ear,3.8,679,589,1099
Qexle Harons_Hbs730_01 Bluetooth Headset,Black, In the Ear,4.2,334732,399,1299
Ambrane BassBand Lite Bluetooth Headset,Black, In the Ear,3.9,73755,788,1399
JBL C150SI Wired Headset,Red, In the Ear,4.3,9,649,7999
JBL C100TWS True Wireless with Google Assistant Bluetoo...,Black, True Wireless,3.7,501,2499,999
TIGENECY LOW PRICE ALL MOBILE'SUPPORTED Bluetooth 2 PIC...,Black, True Wireless,4.1,9930,232,999
BRD BLUETOOTHHEADSET-A29 Bluetooth Headset,White, True Wireless,3.6,980,199,599
Portronics POR-1071 Conch Beta Wired Headset,Black, In the Ear,4.1,221,229,1299
Clownfish HEADPHONE BLUETOOTH I12 TWS EARBUD TRUE WIREL...,White, True Wireless,4,853,489,1999
FIER MAGNET-K1-I7 Pack of 3 Bluetooth Bluetooth Headset...,Black, White,4.5,13,369,2499
Aroma NB119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.4,39770,649,2999
Ucool EliteSport 50 Hours Playtime Wireless Neckband Ea...,Black, Grey,4.1,82872,749,399
MJ Hub -730 Headphone wireless music crystal clear ster...,Black, In the Ear,3.8,35074,220,1599
Oxhox HBS-730 Wireless compatible with 4G redmi Headset...,Black, In the Ear,3.8,3440,260,4999
realme Buds Air 2 with Active Noise Cancellation (ANC) ...,Closer Gold, True Wireless,4.1,16689,3299,1199
ZEBRONICS ZEB-SYMPHONY Bluetooth Headset,Black, In the Ear,4.3,114661,649,2850
TECHFIRE Platinum Series Neckband - Low Price Bluetooth...,Blue, In the Ear,3.4,5543,599,3999
Boult Audio Thunder Bluetooth Headset,Black, On the Ear,4.2,0,1199,1299
boAt BassHeads 172 Wired Headset,Raging Red, In the Ear,5,0,499,999
Oxhox Wireless compatible with 4G redmi Bluetooth Heads...,Red, Black,5,0,147,0
Matlek Gaming Headphones With Adjustable Mic | Deep Bas...,Blue, On the Ear,4.1,236,699,1490
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,Aqua Blue, On the Ear,4.3,291076,1499,3990
icall BBD-S650 One side Earbuds (With Charging Cable) B...,Black, True Wireless,3.5,17,208,1025
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,4,1934,2493,5499
Redmi by Mi Hi-Resolution Audio Wired Headset,Black, In the Ear,4.2,74477,399,599
Aroma NB119 Metal - 40 Hours Playtime Bluetooth Neckban...,Black, In the Ear,4,206,465,2499
boAt Bassheads 104 Wired Headset,White, In the Ear,4.2,25388,399,999
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.9,10398,379,1999
DigiClues Smart TWS with Charging Case & Power Bank HD ...,Black, True Wireless,3,6,1299,4999
Qexle Harons_Hbs730_01 Bluetooth Headset,Black, In the Ear,4.1,88,399,1099
Ambrane BassBand Lite Bluetooth Headset,Black, In the Ear,3.8,679,788,1299
Boult Audio ProBass Curve Neckband Bluetooth Headset,Blue, Black,4,333036,799,3499
JBL C150SI Wired Headset,Red, In the Ear,4.2,334732,649,1399
JBL C100TWS True Wireless with Google Assistant Bluetoo...,Black, True Wireless,3.9,73755,2499,7999
TIGENECY LOW PRICE ALL MOBILE'SUPPORTED Bluetooth 2 PIC...,Black, True Wireless,4.3,9,232,999
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,4,333036,999,3499
Soundcore by Anker Life Q10 with Fast Charging Bluetoot...,Blue, On the Ear,4.4,28087,2499,6999
Portronics POR-1071 Conch Beta Wired Headset,Black, In the Ear,4.1,9930,229,599
FIER MAGNET-K1-I7 Pack of 3 Bluetooth Bluetooth Headset...,Black, White,3.6,980,369,1999
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,4,853,599,3800
Clownfish HEADPHONE BLUETOOTH I12 TWS EARBUD TRUE WIREL...,White, True Wireless,4.1,221,489,1299
Ucool EliteSport 50 Hours Playtime Wireless Neckband Ea...,Black, Grey,3.3,1842,749,2999
Aroma NB119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Black, In the Ear,4.1,866,649,2499
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,4.5,13,254,1998
WeCool Moonwalk M3-V2 Bluetooth In Ear True wireless Ea...,Black, True Wireless,3.8,107,1199,3999
MJ Hub -730 Headphone wireless music crystal clear ster...,Black, In the Ear,4,2834,220,399
YODNSO 42472 Wired Headset,Black, In the Ear,4,26069,148,1200
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.8,3440,533,2499
Truke Buds Q1 with Environmental Noise Cancellation(ENC...,Black, True Wireless,3.8,35074,1199,3499
TECHFIRE Platinum Series Neckband - Low Price Bluetooth...,Blue, In the Ear,3.8,631,599,2850
ZEBRONICS ZEB-SYMPHONY Bluetooth Headset,Black, In the Ear,4,70713,649,1199
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Black, In the Ear,4.3,114661,379,1999
SAMSUNG Level U2 With Type-C Charging Bluetooth Headset,Black, In the Ear,3.3,56,2199,2999
boAt BassHeads 172 Wired Headset,Raging Red, In the Ear,3.9,35280,499,1299
XB9 bluetooth neckband BLUE 01 Bluetooth Headset,Blue, In the Ear,4.2,19975,300,999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.8,449,1299,4999
realme Buds 2 Neo With HD Mic Wired Headset,Blue, In the Ear,3.5,20079,499,599
Grostar TWS Blueteeth 5.0 Dual Auto Pair Portable True ...,Red, True Wireless,3.5,573,649,1999
N2B TWS Twins Wireless Bluetooth Earphone with Mic HEAD...,White, In the Ear,4,0,399,999
